Sample,Points,Mean,Std,Min,Max,RMS,Peak2Peak,Energy,Group
LB0,1200,-1.0009383333333333,0.042215907711298725,-1.23,-0.776,1.0018281938536167,0.45399999999999996,1204.391676,LB
LD0,1200,-0.7580399999999998,0.04394509908207438,-1.02,-0.496,0.7593127243325595,0.524,691.866976,LD
SS0,1200,-0.9401349999999998,0.043406126007742254,-1.18,-0.728,0.9411364991328304,0.45199999999999996,1062.885492,SS
SR0,1200,0.09860666666666668,0.05917639131350347,-0.28,0.472,0.1150005217379469,0.752,15.870144,SR
LB1-1,1200,-2.088966666666667,0.044063577803996924,-2.44,-1.73,2.089431342096058,0.71,5238.868,LB
LB1-2,1200,0.2796033333333333,0.04265539421404467,-0.04,0.532,0.28283830480800626,0.5720000000000001,95.997008,LB
LB1-3,1200,0.7393016666666667,0.05759012355044532,0.376,1.01,0.7415413519600014,0.634,659.860292,LB
LB1-3,1200,0.7393016666666667,0.05759012355044532,0.376,1.01,0.7415413519600014,0.634,659.860292,LB
LB1-4,1200,1.766025,0.08483778270912086,1.44,2.05,1.7680615798099342,0.6099999999999999,3751.2501,LB
LB1-5,1200,-0.43506999999999996,0.06176451327420948,-0.668,-0.216,0.43943231560730717,0.45200000000000007,231.720912,LB
LB2-1 (1),1200,2.6039083333333335,0.03208283441170512,2.44,2.78,2.60410597262605,0.33999999999999986,8137.6415,LB
LB2-1(2),1200,-0.7218566666666667,0.05854781056728101,-0.94,-0.44,0.7242271006620322,0.49999999999999994,629.405872,LB
LB2-2 (1),1200,0.2976933333333333,0.049277573894104094,0.032,0.568,0.3017442625800862,0.5359999999999999,109.25952000000001,LB
LB2-2(2),1200,-0.42741666666666667,0.06410901955956656,-0.62,-0.232,0.4321978405005436,0.388,224.153968,LB
LB2-3 (1),1200,-0.26799666666666666,0.034185181812527415,-0.452,-0.088,0.2701681698498178,0.364,87.589008,LB
LB2-3(2),1200,-0.4757966666666667,0.06428726148226327,-0.756,-0.232,0.48012010997249427,0.524,276.618384,LB
LB2-4 (1),1200,-0.29166,0.05688014650707808,-0.52,-0.028,0.2971546847462894,0.492,105.961088,LB
LB2-4(2),1200,-0.5847933333333333,0.06023186273799681,-0.88,-0.332,0.5878869959439484,0.548,414.733344,LB
